region,total,facility_count,facility_type_diversity,fac_per_10k,is_blindspot,total_z,fac_z,blindspot_score
관악구,153605.0,27,2,1.7577552812891666,False,3.4095719472218002,-0.4050458221309069,3.814617769352707
강서구,106748.0,20,2,1.8735714016306095,False,1.576856935202274,-0.3141966567382524,1.8910535919405265
영등포구,79698.0,8,1,1.00378930449901,True,0.518851918339731,-0.9964762682890361,1.5153281866287671
노원구,67182.0,5,2,0.7442469708040476,False,0.029314365990319204,-1.2000679991356074,1.2293823651259266
중랑구,69149.0,6,2,0.86769150662082,False,0.10624951823315182,-1.1032349070049572,1.209484425238109
양천구,47886.0,0,0,0.0,False,-0.7254089170181699,-1.7838746051954746,1.0584656881773047
송파구,89720.0,19,3,2.1176995093493427,False,0.9108417992638126,-0.12269624410356494,1.0335380433673775
은평구,70568.0,9,2,1.2753656046259827,False,0.16175077956135694,-0.7834447823937877,0.9451955619551446
동대문구,72355.0,11,2,1.520281942986624,False,0.2316456026716477,-0.5913260612218849,0.8229716638935326
서대문구,56770.0,5,2,0.8807468731934567,False,-0.3779295613876031,-1.0929939392232486,0.7150643778356456
동작구,75148.0,17,2,2.2622025865941606,False,0.3408880430449225,-0.00934428648610413,0.3502323295310266
마포구,73327.0,16,2,2.18200662754756,False,0.26966337998737383,-0.07225207450186341,0.3419154544892372
강남구,79274.0,20,2,2.5228952742989006,False,0.5022680319386323,0.19514981184943384,0.30711822008919853
성동구,48442.0,6,3,1.2385946077291206,False,-0.7036621225865406,-0.8122889050330816,0.108626782446541
광진구,72933.0,18,2,2.468018592068334,False,0.25425288177503214,0.15210312054716194,0.1021497612278702
성북구,70230.0,17,2,2.4206179691840215,False,0.1485306059680283,0.11492084388795303,0.03360976208007528
구로구,62632.0,13,2,2.075616298046427,False,-0.14864950930448934,-0.1557074053533216,0.007057896048832252
강동구,65601.0,16,2,2.4389872101890235,False,-0.03252319155717361,0.12933015244777185,-0.16185334400494547
금천구,53858.0,15,2,2.785101562853225,False,-0.4918264415762806,0.40083121790618503,-0.8926576594824656
강북구,53705.0,20,3,3.7240480395262923,False,-0.49781072133894116,1.1373651606996176,-1.6351758820385587
도봉구,43347.0,14,2,3.2297506163679723,False,-0.9029425499771009,0.7496254555766855,-1.6525680055537864
서초구,49443.0,19,2,3.842808890269035,False,-0.6645100700216827,1.2305242489119603,-1.895034318933643
종로구,29779.0,11,2,3.693878235100615,False,-1.4336269148122576,1.1136991844602842,-2.5473260992725417
중구,28968.0,13,2,4.487710575639427,False,-1.4653475088483212,1.736401839211894,-3.2017493480602153
용산구,40445.0,22,2,5.439485720005072,False,-1.016448300769526,2.4829989213121384,-3.499447222081664
