region,total,facility_count,facility_type_diversity,fac_per_10k,log_total,cluster
금천구,53858.0,15,2,2.785101562853225,10.894124799538938,0
강북구,53705.0,20,3,3.7240480395262923,10.891280006098993,0
서초구,49443.0,19,2,3.842808890269035,10.808595995007714,0
도봉구,43347.0,14,2,3.2297506163679723,10.677015845042886,0
용산구,40445.0,22,2,5.439485720005072,10.607723030081495,0
종로구,29779.0,11,2,3.693878235100615,10.301592306238,0
중구,28968.0,13,2,4.487710575639427,10.27398157170024,0
동대문구,72355.0,11,2,1.520281942986624,11.189353658821526,1
은평구,70568.0,9,2,1.2753656046259827,11.16434623356714,1
중랑구,69149.0,6,2,0.86769150662082,11.144033337092905,1
노원구,67182.0,5,2,0.7442469708040476,11.11517551831689,1
구로구,62632.0,13,2,2.075616298046427,11.04504757473951,1
서대문구,56770.0,5,2,0.8807468731934567,10.946780910947098,1
성동구,48442.0,6,3,1.2385946077291206,10.788143128036669,1
관악구,153605.0,27,2,1.7577552812891666,11.94214616143279,2
강서구,106748.0,20,2,1.8735714016306095,11.578235563365496,2
송파구,89720.0,19,3,2.1176995093493427,11.404460134358922,2
강남구,79274.0,20,2,2.5228952742989006,11.280678099406549,2
동작구,75148.0,17,2,2.2622025865941606,11.227228088372692,2
마포구,73327.0,16,2,2.18200662754756,11.202697806748905,2
광진구,72933.0,18,2,2.468018592068334,11.197310201587902,2
성북구,70230.0,17,2,2.4206179691840215,11.159545087980925,2
강동구,65601.0,16,2,2.4389872101890235,11.091361462272316,2
영등포구,79698.0,8,1,1.00378930449901,11.286012317648149,3
양천구,47886.0,0,0,0.0,10.776599347816312,3

| 컬럼                      | 의미                  |
| ----------------------- | ------------------- |
| region                  | 자치구 이름              |
| total                   | 해당 구의 1인가구 수    |
| facility_count          | 안심귀갓길 시설 개수         |
| facility_type_diversity | 시설 종류 수             |
| fac_per_10k             | 1인가구 1만 명당 시설 수 |
| log_total               | 1인가구 수를 로그 변환한 값    |
| cluster                 | 군집 결과 |
