region,gu_area_m2,safe_cov_m2,sta_cov_m2,safe_cov_ratio,sta_cov_ratio,safe_cov_pct,sta_cov_pct
양천구,17877426.025154725,157598.56777024444,4946339.712726975,0.008815506636609363,0.2766807540284125,0.8815506636609363,27.668075402841254
노원구,35442059.62436477,1259088.1770054204,9922442.572068663,0.03552525418528035,0.2799623576403964,3.5525254185280355,27.99623576403964
은평구,31378011.74082823,1476599.6303147664,7911634.415055026,0.047058419204855303,0.2521394433912018,4.70584192048553,25.213944339120182
서대문구,17395234.763722453,1408521.9997930068,5082624.1364462385,0.08097171546833401,0.2921848543858683,8.097171546833401,29.21848543858683
서초구,47812355.24324696,4082583.930743009,12598350.231976312,0.08538763484820454,0.2634957045701217,8.538763484820453,26.349570457012174
종로구,23876940.773724586,2130297.899111195,6110115.103376965,0.08921988454465174,0.2559002495872859,8.921988454465174,25.59002495872859
중랑구,17966182.560575582,1649085.4635188396,8312640.952341982,0.0917883060554856,0.4626826497122976,9.17883060554856,46.26826497122976
강서구,42995117.46424785,3982585.3092034245,12672006.781969566,0.09262878075667784,0.29473129809464627,9.262878075667784,29.473129809464627
강남구,38408969.42844641,3879090.42083272,17227803.222912617,0.10099438955422199,0.44853594041378725,10.0994389554222,44.85359404137873
성동구,16560635.180632625,1680799.6038107462,9727675.988952106,0.1014936676931578,0.5873975172358397,10.14936676931578,58.739751723583964
영등포구,21559128.93553891,2323760.6507537332,11985460.412807036,0.10778546098507512,0.5559343537785395,10.778546098507512,55.59343537785395
동대문구,14527564.152364453,1646144.652872029,6286593.587068518,0.1133118143969172,0.4327355584965931,11.33118143969172,43.27355584965931
강동구,25394762.414231483,2907241.254253028,9300965.206038393,0.1144819237459682,0.366255255880088,11.44819237459682,36.6255255880088
송파구,33623588.444495216,3894910.325310155,16696767.505144684,0.11583862715128555,0.496578987478008,11.583862715128555,49.6578987478008
마포구,24628349.613831818,3025767.7389040967,10295164.068002721,0.12285710517950255,0.4180208673918098,12.285710517950255,41.802086739180986
구로구,20057891.783069625,2623548.8335896903,7063533.874811634,0.13079883279678292,0.35215734291545986,13.079883279678292,35.215734291545985
관악구,29878419.941444878,4306791.244703206,6682410.088500199,0.1441438755176334,0.2236533960495987,14.41438755176334,22.365339604959868
강북구,23697065.32516108,3465596.932978101,6573808.332999289,0.14624582771852335,0.2774102296126663,14.624582771852335,27.74102296126663
도봉구,20705620.047977258,3297744.8271927903,5085691.506996036,0.15926810303441982,0.24561889454225058,15.926810303441982,24.561889454225057
성북구,24334938.15295398,4146408.9251971003,8574169.978198582,0.17038912937174547,0.3523399124463268,17.038912937174548,35.233991244632676
동작구,17434236.49127136,3194441.985134463,9877727.330381785,0.18322809758453115,0.5665706860938347,18.322809758453115,56.657068609383465
용산구,21154933.83886141,4412169.157930745,9167928.362236196,0.20856454534618457,0.4333706941401443,20.856454534618457,43.33706941401443
광진구,17630412.966810618,4015035.6226990717,7188560.406435088,0.22773349837337367,0.40773635988944823,22.773349837337367,40.773635988944825
금천구,12572336.96306315,2953720.839935754,2506009.8912141486,0.2349380905565629,0.19932729281570088,23.49380905565629,19.93272928157009
중구,10059611.410060424,2806390.2967058276,8439002.855418937,0.2789760143119654,0.8388994874075604,27.897601431196538,83.88994874075604
